"","x"
"1",-1.42295676478836
"2",0.106999538310964
"3",-0.274843724710377
"4",-0.949538306267562
"5",0.229088287074796
"6",-1.62099083362461
"7",0.0155703270748947
"8",-1.07647009364046
"9",-0.15177784981413
"10",1.79851008603738
"11",-1.14421702372843
"12",-0.603406756992047
"13",1.4455577364025
"14",-1.17903251884981
"15",0.348704580707323
"16",0.328361582037286
"17",0.604524657153618
"18",-1.63400984093738
"19",-0.14225445729053
"20",-0.692910000873849
"21",-0.0412118306005194
"22",-1.58493461559472
"23",2.08908053599952
"24",-0.349031442509807
"25",-0.869009801613519
"26",2.32546643266352
"27",-0.429803437194536
"28",1.15077008073967
"29",-0.77689408890591
"30",1.87948758989939
"31",-0.579439726729473
"32",0.161624633778934
"33",-0.492930429374436
"34",-0.774321815425935
"35",3.5003782054328
"36",-4.46677665737544
"37",3.42221675447713
"38",-2.87180324204458
"39",3.85474533517526
"40",-1.89190799567555
"41",2.16514009294392
"42",-0.555209447400427
"43",-2.20385107252627
"44",0.187316717367844
"45",0.46299506734863
"46",-1.27865111436576
"47",-0.0441928495732823
"48",-0.0825753467018231
"49",-1.7879912097529
"50",1.59086496610213
"51",-0.807548010186744
"52",1.22490604900996
"53",-1.70896114115426
"54",0.170631601133363
"55",-0.515435049143899
"56",1.95170232924243
"57",-0.227190176057309
"58",0.639794790743029
"59",-0.315374270781554
"60",0.71818507482611
"61",-0.104571651014875
"62",0.152291312643543
"63",0.197517742916941
"64",2.38432574190517
"65",-1.42419622377281
"66",0.0451899534144265
"67",1.4941694688648
"68",-2.2530427508141
"69",0.644657225114108
"70",-1.28965801875922
"71",1.00371110339185
"72",-0.627397252314883
"73",0.320311418078626
"74",-0.558949315676267
"75",0.849264414259808
"76",0.0518577411839475
"77",-1.23419750769714
"78",-0.468890122855383
"79",-0.686612319166802
"80",0.559693049970457
"81",-0.549713440024016
"82",-1.12845709450997
"83",-0.121615606692358
"84",0.130179871267921
"85",-0.0234001882512664
"86",1.66499535271781
"87",-1.7029135326392
"88",1.48018257050415
"89",-1.47419451476735
"90",1.85733398166506
"91",-0.749977882964888
"92",1.23470732463413
"93",0.639483428399487
"94",-0.35785132651059
"95",0.523034469373274
"96",-0.777777136481501
"97",-0.0584174893033335
"98",-0.680215790549407
"99",-0.382552156072211
"100",0.74175415430185
"101",-2.52509539956297
"102",2.02985463281586
"103",-3.11376635096815
"104",3.79261964254682
"105",-1.46015092842008
"106",1.62746847959352
"107",-1.54270188692447
"108",0.42258895574768
"109",-0.408705377606587
"110",-0.300129352775886
"111",-1.09913573016093
"112",0.797413228800083
"113",0.594973336960037
"114",-0.945344404698089
"115",-0.694978792512048
"116",1.17091294361099
"117",-1.26227841193888
"118",0.615078300294492
"119",0.128951348127357
"120",0.663359211003895
"121",-0.182843111620862
"122",-1.00826842780182
"123",0.0879310095488091
"124",-1.83281772907282
"125",-0.577907783816861
"126",-0.0138896595149602
"127",1.26414038173292
"128",-0.383374926587318
"129",2.20945080839923
"130",-0.594985948782042
"131",-1.46953573260478
"132",0.0730387998750706
"133",2.02002296983254
"134",-1.41671028065172
"135",1.17336024609105
"136",-0.712518598970839
"137",0.49027103732835
"138",-1.26145974180558
"139",1.41705530811657
"140",-1.02414954177448
"141",2.20086348422882
"142",-1.6621349423129
"143",2.73434747093453
"144",-1.78312920897984
"145",0.143133827792046
"146",0.164240819114657
"147",1.50546594691258
"148",-0.713950909497124
"149",-0.362463573570489
"150",-0.145763644766524
"151",0.418743935590966
"152",-0.101635517341988
"153",1.18731569880738
"154",-1.35222116324001
"155",0.793069016165877
"156",-1.19377814308244
"157",3.78450570702792
"158",-2.02417874528964
"159",0.190572093023685
"160",-1.883370559707
"161",2.5494460641024
"162",-0.342775040061334
"163",-0.586483033109117
"164",0.713778972634502
"165",-0.518388359138022
"166",-0.182325960443004
"167",-0.779116648916594
"168",1.32268960574662
"169",-1.76827586069746
"170",0.0113518872768129
"171",0.0429077948278185
"172",-0.489941794795963
"173",2.12743186376688
"174",-1.25355877413818
"175",1.33496876178984
"176",0.869282101610474
"177",0.925369800097444
"178",-1.08306245310355
"179",-0.777328681563134
"180",0.146045948393048
"181",1.14997372814311
"182",-3.11847595993697
"183",3.2905015396747
"184",-1.58317500655628
"185",0.763346929881161
"186",-0.282297301866229
"187",-1.79725969161085
"188",0.317747720505002
"189",1.62916708676637
"190",-1.09630456879186
"191",-0.596974670994957
"192",-0.35543558047272
"193",-0.498604001478302
"194",1.00168588602648
"195",0.103606317094838
"196",-0.506436117224828
"197",-0.982505404863677
"198",1.91747323474667
"199",-1.61644528047894
"200",1.70458542669754
"201",-0.540838603993624
"202",-0.61450964202551
"203",-0.0330915988973629
"204",0.162893579702358
"205",-0.524830281875241
"206",-0.0273706785245064
"207",0.244784654544242
"208",1.6023856810978
"209",0.0192013946156194
"210",0.135709328140236
"211",0.00524892622356766
"212",1.41046981950623
"213",-0.276700698742807
"214",-1.27490994153501
"215",0.285776364073704
"216",0.652397022018416
"217",1.59478487169323
"218",-0.631046041203941
"219",1.12190635097746
"220",-0.342668233484665
"221",0.65346618623604
"222",-0.824257193241762
"223",1.6334359378858
"224",-1.00839066317253
"225",-0.364763446791132
"226",1.04693930052642
"227",-1.47319444362609
"228",0.285450162114637
"229",-1.40134074255381
"230",-0.489652273379595
"231",0.666869651032753
"232",0.234830920131724
"233",-0.644762848003416
"234",0.886616458675739
"235",0.197262204404886
"236",-0.700893472214996
"237",1.21200682815657
"238",0.287149375553925
"239",-1.47482170819592
"240",2.21334262742184
"241",-0.387782967263204
"242",0.0182513958541787
"243",0.951767143196373
"244",-2.04303469913457
"245",0.219411539985626
"246",0.954554760843551
"247",0.743659680465898
"248",-1.74174598715807
"249",0.754954829584112
"250",0.356725123302799
"251",-0.552848475300524
"252",-1.33243097872504
"253",0.657516150622151
"254",-1.58773642445117
"255",2.38036379681684
"256",-3.47089993734125
"257",2.94152267509191
"258",-2.42527945740304
"259",1.03533691149366
"260",0.712496274159959
"261",1.61635567022206
"262",0.49678431597465
"263",-0.454333801830904
"264",1.73977070034571
"265",-0.128037048739664
"266",-0.431212229620269
"267",-0.317750640397653
"268",-0.161089573766476
"269",1.55040291089727
"270",-1.31392971716852
"271",0.353482221101339
"272",1.36809300157928
"273",-0.322275495916185
"274",0.870869508350513
"275",-0.511451497674456
"276",-0.00235313495204361
"277",0.20927111299794
"278",-0.640092707365737
"279",-0.347542008998053
"280",0.126075556009067
"281",0.234388190365859
"282",0.298164290006331
"283",1.33250550441633
"284",-1.16591432047698
"285",1.9330706201661
"286",-0.913376844991367
"287",1.23927225445906
"288",-1.57205781293184
"289",1.17574744995313
"290",-0.583901567428922
"291",0.0094686209459601
"292",1.00549068826888
"293",-0.254338871991619
